from,to,relationship,weight,year_beginning,year_end
make,chwa,1,1,1969,1971
male,chma,1,1,99,99
mama,chma,1,1,1967,99
mara,FI,99,99,99,99
MF,BB,1,2,99,99
MF,TS,99,99,99,99
mich,chma,1,1,99,99
mifa,frsi,5,3,1966,1968
mifa,shta,2,2,1966,1969
mimo,maal,2,2,1973,99
mimo,napi,5,3,1974,1990
miwe,chma,2,2,99,99
napi,chma,2,3,1966,99
napi,chwa,2,1,99,99
napi,mimo,5,3,1974,1990
napi,MF,99,99,1967,1969
ofpu,chma,1,1,1969,1969
ofru,chma,1,1,99,99
pacr,pawa,2,2,1969,99
pafi,pakr,1,1,1969,1971
pakr,abfo,6,2,1969,1969
pakr,chma,2,2,1967,99
pakr,chma,2,3,1967,99
pakr,daka,1,1,1970,1971
pakr,dewi,2,2,99,99
pakr,elba,2,2,99,99
pakr,jase,6,2,1969,1969
pakr,lela,6,1,1969,1969
pakr,lika,2,1,1969,1970
pakr,lika,3,1,1970,1971
pakr,MF,99,99,1967,99
pakr,pafi,1,1,1969,1971
pakr,rola,6,1,1969,99
pakr,sana,1,1,1969,1969
pakr,sana,7,1,1969,1969
pakr,shta,6,2,1969,1969
pakr,stpa,6,2,1969,1969
pakr,thno,1,1,1969,1971
pakr,wofr,6,2,1969,1969
pakr,dila,2,2,1968,1969
papo,ropo,4,3,1969,99
papo,shta,4,3,1969,1969
papo,wiga,2,1,1967,99
pawa,chma,2,2,1968,1969
pawa,chma,2,2,1968,1969
pawa,chwa,2,1,1968,1969
pawa,MF,99,99,1968,1970
pawa,pacr,2,1,1969,99
phal,chwa,1,1,99,99
phka,chma,3,2,1968,99
phph,chma,1,2,1961,1965
phph,chma,1,2,1961,1965
raho,chwa,2,2,99,99
rape,MF,99,99,99,99
rica,suat,1,1,1969,1970
ricar,chwa,2,3,99,99
robe,gahi,3,1,1969,99
robe,leva,5,3,1968,99
robe,MF,99,99,99,99
rohe,lyfr,1,1,1969,1970
rohe,vihe,5,3,1948,1988
roho,suat,1,1,1969,1971
rohu,rohu,1,1,1970,1970
roka,lika,5,2,1968,1969
rola,frst,4,3,1954,1969
rola,lela,5,3,1954,1969
roma,MF,99,99,1968,1971
romo,chma,1,1,1967,99
romu,MF,99,99,99,99
ropo,abfo,2,3,1968,1969
ropo,FI,99,99,99,99
ropo,jase,2,3,1968,99
ropo,jase,2,3,1966,1969
ropo,papo,4,3,1969,99
ropo,shta,5,3,1968,1969
ropo,shta,5,3,1966,1969
ropo,teme,1,1,1968,1968
ropo,wich,1,1,1968,1969
